epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.204,0.75241,0.63891,0.90843,0.995,0.99422,0.994,0.85444,0.60804,0.39452,0.88058,0.0670914,0.00033241,0.00033241
2,275.281,0.71798,0.40705,0.89644,0.99074,0.98601,0.99368,0.84887,0.65411,0.36143,0.9051,0.0340914,0.000665725,0.000665725
3,407.84,0.69898,0.39115,0.88919,0.99699,0.99431,0.9941,0.82728,0.70051,0.35553,0.90902,0.0010913,0.000998968,0.000998968
4,540.573,0.67936,0.37299,0.88658,0.99079,0.96768,0.98867,0.82057,0.70367,0.41291,0.93249,0.000999756,0.000999756,0.000999756
5,675.438,0.67866,0.36746,0.88836,0.99798,0.996,0.99453,0.86613,0.60757,0.30888,0.88252,0.000999566,0.000999566,0.000999566
6,808.927,0.65541,0.34998,0.88092,0.9978,0.99301,0.99469,0.85135,0.64359,0.30706,0.89684,0.000999322,0.000999322,0.000999322
7,943.037,0.64532,0.33553,0.87517,0.99792,0.996,0.99473,0.84232,0.6461,0.31906,0.89237,0.000999023,0.000999023,0.000999023
8,1076.91,0.64744,0.33442,0.87766,0.99598,0.99034,0.99456,0.86614,0.61296,0.3175,0.889,0.000998671,0.000998671,0.000998671
9,1210.29,0.63249,0.32176,0.87343,0.98905,0.99271,0.99452,0.86331,0.61407,0.30216,0.88802,0.000998264,0.000998264,0.000998264
10,1345.06,0.63077,0.31997,0.87222,0.99702,0.99201,0.99467,0.8721,0.60054,0.29715,0.878,0.000997803,0.000997803,0.000997803
11,1479.25,0.61686,0.31596,0.86885,0.99798,0.98856,0.99461,0.86972,0.59722,0.2885,0.87261,0.000997288,0.000997288,0.000997288
12,1613.79,0.61082,0.312,0.86972,0.99859,0.99301,0.99435,0.85897,0.6343,0.29236,0.8854,0.00099672,0.00099672,0.00099672
13,1746.96,0.60419,0.30651,0.87001,0.99592,0.99001,0.99452,0.8743,0.59748,0.27881,0.87284,0.000996097,0.000996097,0.000996097
14,1879.67,0.60521,0.30924,0.8685,0.99258,0.97802,0.99342,0.87149,0.56096,0.31417,0.86563,0.00099542,0.00099542,0.00099542
